stationReference,month,avg_daily_pet
1029TH,1,0.4585899069055591
E2043,1,0.36610774558845244
52119,1,0.519548002306178
E21136,1,0.3434279329733325
2067,1,0.3652540406274859
48143,1,0.6228911633413949
720215,1,0.3669335051301925
F1906,1,0.3335895610964265
E8266,1,0.31017365575218714
1771TH,1,0.4224669193699622
531118,1,0.3342959125537448
52207,1,0.47744301787237625
E1147,1,0.39037609174495247
E70039,1,0.41177649225810875
E70024,1,0.41177649225810875
693115,1,0.23529899432039017
690611,1,0.17797715823165053
E21720,1,0.38483792198036887
2804TH,1,0.34338119374739845
2406TH,1,0.41161804488948506
4615TH,1,0.3352680812758937
43165,1,0.4192084133947253
2020,1,0.4552897766551438
3400TH,1,0.24395481244647796
L1931,1,0.3656516147698743
44112,1,0.6000336697550857
023008,1,0.27166848453123
690203,1,0.17818005456875888
4036,1,0.4110414060730332
46128,1,0.583933702041948
4827TH,1,0.35905754083381225
055003_TG 316,1,0.28437596472135623
L2011,1,0.4393720148682152
L08015,1,0.4180117297576114
2206,1,0.35664645552803764
4161,1,0.3624090387457767
693426,1,0.3128101696606731
E72639,1,0.5259871756453858
E72624,1,0.5259871756453858
730506,1,0.31417138561395613
53131,1,0.37398531899919263
43216,1,0.42408669295682044
45171,1,0.6946443606870671
4124,1,0.3391469647433809
E2901,1,0.4441910552298223
2095,1,0.3813198043827548
022014,1,0.28074137949114525
E21127,1,0.4817287340536441
45134,1,0.4805701836987756
L1115,1,0.489392071367629
E2790,1,0.3812313521678843
L3404,1,0.40745263549354316
L2322,1,0.38356607063058074
2241TH,1,0.41212066135833086
760502,1,0.37116106316666275
E12442,1,0.3856170301879823
5380TH,1,0.26816476383568494
765045,1,0.4198930149161399
L2545,1,0.3682147455251956
F0815,1,0.4102439886868051
740101,1,0.3487602256728874
E4411,1,0.4574995805275545
531109,1,0.308000273796868
L1203,1,0.3500531689394609
2870TH,1,0.3791541112292354
4435,1,0.2629157728293529
2642,1,0.33312920927790995
023036,1,0.3621644187246158
47140,1,0.5839261187868745
4064,1,0.41341130383272107
761659,1,0.3521489420514868
2011,1,0.3555596350476876
735225,1,0.32406423363512077
F2102,1,0.35242869923937287
720517,1,0.38198685687033523
5376TH,1,0.289845141252678
E21563,1,0.2771689009155857
684027,1,0.41201376598002765
46119,1,0.6018231224523495
E8210,1,0.31046062017542786
L0307,1,0.3555908039452666
2896TH,1,0.30592918174311584
E60601,1,0.38914967469632844
53122,1,0.38245219247427115
3015TH,1,0.393204675270562
E2062,1,0.38842921447539364
E4351,1,0.23060936192009038
1681TH,1,0.41941491198845127
43207,1,0.4167155720582981
4115,1,0.36406503665869755
45162,1,0.46327329797053973
2086,1,0.3676194012739031
E2285,1,0.36376338484673154
E2900,1,0.4180364287905083
E12470,1,0.4031786405093345
48125,1,0.7034882827645557
L2313,1,0.32908576322921085
L2907,1,0.37519734101857727
692423,1,0.24115453495659375
50197,1,0.7638723408897753
700306,1,0.35271633043074924
4203,1,0.3128768085703929
L1231,1,0.34452703888466085
0319TH,1,0.3593724529107113
3826TH,1,0.31427200675753925
5151TH,1,0.3851709920043825
